temperature,humidity,pressure,altitude,absolute_orientation[0],absolute_orientation[1],absolute_orientation[2],angular_velocity[0],angular_velocity[1],angular_velocity[2],linear_acceleration[0],linear_acceleration[1],linear_acceleration[2]
0.0,0.0,0.0,0.0,23.12,-4.0,51.25,-0.19,0.13,-0.06,-0.02,0.09,-0.07
0.0,0.0,0.0,0.0,23.12,-4.0,51.25,-0.13,-0.06,0.06,-0.03,0.03,-0.01
0.0,0.0,0.0,0.0,23.12,-4.0,51.25,0.0,-0.06,0.13,-0.04,0.02,0.0
0.0,0.0,0.0,0.0,23.12,-4.0,51.25,-0.06,0.06,0.0,-0.03,0.05,-0.04
0.0,0.0,0.0,0.0,23.12,-4.0,51.25,0.06,0.0,-0.06,-0.07,0.12,-0.07
0.0,0.0,0.0,0.0,23.12,-4.0,51.25,0.0,0.0,-0.06,-0.03,0.11,-0.1
0.0,0.0,0.0,0.0,23.12,-4.0,51.25,-0.19,0.06,0.06,-0.05,0.02,-0.01
0.0,0.0,0.0,0.0,19.0,-4.06,50.94,-0.06,-0.06,0.06,-0.04,0.09,-0.13
0.0,0.0,0.0,0.0,19.0,-4.06,50.94,0.06,0.0,0.0,-0.04,0.02,-0.09
0.0,0.0,0.0,0.0,19.0,-4.06,50.94,-0.06,0.06,0.0,-0.05,-0.04,-0.01
0.0,0.0,0.0,0.0,19.0,-4.06,50.94,0.0,0.06,0.0,-0.04,-0.01,-0.01
0.0,0.0,0.0,0.0,19.0,-4.06,50.94,-0.06,-0.06,0.06,-0.04,0.05,-0.09
0.0,0.0,0.0,0.0,19.0,-4.06,50.94,-0.13,0.13,0.0,-0.04,0.08,-0.11
0.0,0.0,0.0,0.0,19.0,-4.06,50.94,0.0,0.13,-0.06,-0.04,0.0,-0.07
0.0,0.0,0.0,0.0,19.0,-4.06,50.94,0.0,0.06,0.06,-0.03,-0.01,-0.05
0.0,0.0,0.0,0.0,19.0,-4.06,50.94,0.06,0.0,-0.06,-0.04,-0.01,-0.05
0.0,0.0,0.0,0.0,19.0,-4.06,50.94,-0.13,-0.06,0.06,-0.04,0.09,-0.11
0.0,0.0,0.0,0.0,19.0,-4.06,50.94,-0.19,0.0,0.0,-0.03,0.04,-0.1
0.0,0.0,0.0,0.0,19.0,-4.06,50.94,0.0,0.25,-0.06,-0.04,-0.01,-0.07
0.0,0.0,0.0,0.0,19.0,-4.06,50.94,0.06,0.13,-0.13,-0.04,-0.03,-0.03
