absolute_orientation[0],absolute_orientation[1],absolute_orientation[2],angular_velocity[0],angular_velocity[1],angular_velocity[2],linear_acceleration[0],linear_acceleration[1],linear_acceleration[2],acceleration_magnitude,angular_velocity_magnitude,pitch,roll,jerk[0],jerk[1],jerk[2],jerk_magnitude,fall
335.94,-6.81,100.0,0.13,-0.06,-0.13,-0.07,0.03,0.04,0.0860232526704262,0.1933907960581371,0.3562294761518725,1.0516502125483738,-0.5000000000000004,1.5,1.5,2.179449471770337,0
337.25,-6.94,100.06,-0.06,-0.06,0.0,-0.07,0.0,0.02,0.0728010988928051,0.0848528137423857,0.0,1.2924966677897851,0.0,-1.5,-1.0,1.8027756377319943,0
337.25,-6.94,100.06,-0.13,0.06,0.06,-0.04,0.0,0.03,0.05,0.1552417469626002,0.0,0.9272952180016124,1.5000000000000002,0.0,0.4999999999999999,1.58113883008419,0
337.25,-6.94,100.06,0.13,0.0,0.0,-0.07,0.03,0.05,0.091104335791443,0.13,0.3355544842714666,0.9505468408120752,-1.5000000000000002,1.5,1.0000000000000002,2.345207879911716,0
337.19,-6.94,100.06,-0.06,0.19,0.06,-0.04,0.01,0.05,0.0648074069840786,0.2080865204668481,0.1549223198708134,0.6747409422235526,1.5000000000000002,-0.9999999999999998,0.0,1.8027756377319948,0
337.19,-6.94,100.0,0.0,0.06,-0.13,-0.06,-0.01,0.02,0.0640312423743284,0.1431782106327635,-0.1568156853444008,1.2490457723982544,-0.9999999999999998,-1.0,-1.5,2.0615528128088303,0
337.19,-6.94,100.0,0.06,0.0,0.13,-0.02,0.0,0.0,0.02,0.1431782106327635,0.0,1.5707963267948966,2.0,0.5,-1.0,2.2912878474779195,0
337.19,-6.94,100.0,-0.06,0.0,0.0,-0.07,0.0,0.0,0.07,0.06,0.0,1.5707963267948966,-2.5,0.0,0.0,2.5,0
337.19,-6.94,100.0,0.0,0.13,0.06,-0.02,0.02,0.02,0.0346410161513775,0.1431782106327635,0.6154797086703874,0.7853981633974483,2.5,1.0,1.0,2.8722813232690143,0
337.19,-6.94,100.0,-0.13,-0.06,-0.13,-0.05,0.03,0.03,0.06557438524302,0.1933907960581371,0.4751768494980949,1.0303768265243125,-1.5,0.4999999999999999,0.4999999999999999,1.6583123951777,0
337.19,-6.94,100.0,0.13,0.06,0.06,-0.03,0.0,0.04,0.05,0.1552417469626002,0.0,0.6435011087932844,1.0000000000000002,-1.5,0.5000000000000001,1.8708286933869709,0
337.19,-6.94,100.0,0.0,0.13,-0.13,-0.07,0.12,0.06,0.1513274595042155,0.1838477631085023,0.9156886325302354,0.8621700546672264,-2.0000000000000004,6.0,0.9999999999999998,6.4031242374328485,0
337.19,-6.94,100.06,-0.19,-0.25,-0.13,-0.1,0.02,0.11,0.15,0.3398529093593285,0.1337315894099415,0.7378150601204649,-1.5,-4.999999999999999,2.5,5.787918451395112,0
359.25,-7.06,99.37,-1.12,0.5,0.19,0.46,0.23,0.06,0.5177837386399847,1.241168803990819,0.4602821324364272,-1.4410937896389846,79.0,14.500000000000002,11.5,81.13877001779113,0
359.31,-7.06,99.37,0.56,2.87,0.62,-0.53,0.15,-0.29,0.6224949798994367,2.9891303083003926,0.2433608496063486,2.0714640516696328,-49.5,-4.000000000000001,-17.5,52.65453446760307,0
359.5,-7.06,99.44,-0.25,3.69,0.56,-0.06,0.28,0.36,0.46,3.740614922709901,0.6544155622491767,0.1651486774146268,23.5,6.500000000000002,32.49999999999999,40.6294228361664,0
359.69,-7.06,99.44,0.0,2.69,0.44,0.31,0.2,0.14,0.3945883931389771,2.7257476038694413,0.5315351471915271,-1.14660191889113,18.5,-4.000000000000001,-10.999999999999998,21.891779278989635,0
359.75,-7.06,99.44,0.13,0.37,0.13,-0.08,0.17,0.15,0.2404163056034261,0.4131585652022719,0.7853981633974484,0.4899573262537283,-19.5,-1.5,0.499999999999999,19.56399754651385,0
359.75,-7.06,99.44,0.19,-0.19,0.0,0.05,0.19,-0.05,0.2027313493271329,0.268700576850888,1.2145165556254367,-2.356194490192345,6.5,0.9999999999999994,-10.0,11.968709203585824,0
359.75,-7.06,99.44,0.13,-0.37,-0.06,-0.02,0.13,-0.22,0.2563201123595259,0.3967366884975474,0.5319075922771425,3.050932766389048,-3.5000000000000004,-3.0,-8.499999999999998,9.669539802906856,0
0.0,-7.06,98.44,0.06,1.06,0.19,0.02,0.12,0.44,0.4565084884205331,1.078563859954523,0.2659901983580081,-0.045423279421577,2.0,-0.5000000000000004,33.0,33.06433123473088,0
0.06,-7.06,98.25,0.0,0.62,0.0,0.0,0.13,0.47,0.4876474136094643,0.62,0.2698491559384692,-0.0,-1.0,0.5000000000000004,1.4999999999999984,1.8708286933869696,0
0.06,-7.06,98.12,-0.19,0.31,0.13,0.03,0.19,0.36,0.408166632639171,0.3861346915261565,0.4841951294145008,-0.0831412318884412,1.5,3.0,-5.499999999999999,6.442049363362561,0
0.13,-7.06,98.0,-0.19,-0.69,0.06,0.06,0.21,0.35,0.4125530268947253,0.7181921748390189,0.5340522300892636,-0.1697782739683384,1.5,0.9999999999999994,-0.5000000000000004,1.8708286933869709,0
0.06,-7.06,97.87,0.06,-1.69,-0.25,0.0,0.13,0.3,0.3269556544854363,1.709444354168921,0.4089078289509254,-0.0,-3.0,-3.999999999999999,-2.5,5.590169943749474,0
359.94,-7.06,97.75,-0.13,-2.69,-0.13,0.11,0.13,0.34,0.3802630668366309,2.696275208505244,0.3489045796806962,-0.3129012278803844,5.5,0.0,2.0000000000000018,5.852349955359813,0
